# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.00011541      	-3.95139887e-04
0.000115819     	-3.95139887e-04
0.000116225     	-3.95139887e-04
0.000116632     	-3.95139887e-04
0.000117039     	-3.95139887e-04
0.000117443     	-3.95139887e-04
0.000117848     	-3.95139887e-04
0.000118253     	-3.95139887e-04
0.000118658     	-3.95139887e-04
0.00011906      	-3.95139887e-04
0.000119463     	-3.95139887e-04
0.000119866     	-3.95139887e-04
0.000120268     	-3.95139887e-04
0.000120673     	-3.95139887e-04
0.000121078     	-3.95139887e-04
0.000121482     	-3.95139887e-04
0.000121889     	-3.95139887e-04
0.000122296     	-3.95139887e-04
0.000122705     	-3.95139887e-04
0.000123114     	-3.95139887e-04
0.000123525     	-3.95139887e-04
0.000123939     	-3.95139887e-04
0.000124352     	-3.95139887e-04
0.000124768     	-3.95139887e-04
0.000125186     	-3.95139887e-04
0.000125606     	-3.95139887e-04
0.000126029     	-3.95139887e-04
0.000126456     	-3.95139887e-04
0.000126886     	-3.95139887e-04
0.000127319     	-3.95139887e-04
0.000127757     	-3.95139887e-04
0.0001282       	-3.95139887e-04
0.000128649     	-3.95139887e-04
0.000129103     	-3.95139887e-04
0.000129563     	-3.95139887e-04
0.00013003      	-3.95139887e-04
0.0001305       	-3.95139887e-04
0.000130966     	-3.95139887e-04
0.000131426     	-3.95139887e-04
0.000131883     	-3.95139887e-04
0.000132337     	-3.95139887e-04
0.000132789     	-3.95139887e-04
0.000133237     	-3.95139887e-04
0.000133682     	-3.95139887e-04
0.000134124     	-3.95139887e-04
0.000134563     	-3.95139887e-04
0.000135002     	-3.95139887e-04
0.000135438     	-3.95139887e-04
0.000135875     	-3.95139887e-04
0.000136308     	-3.95139887e-04
0.000136741     	-3.95139887e-04
0.000137172     	-3.95139887e-04
0.000137602     	-3.95139887e-04
0.000138032     	-3.95139887e-04
0.000138463     	-3.95139887e-04
0.000138893     	-3.95139887e-04
0.000139323     	-3.95139887e-04
0.000139754     	-3.95139887e-04
0.000140184     	-3.95139887e-04
0.000140614     	-3.95139887e-04
0.000141045     	-3.95139887e-04
0.000141475     	-3.95139887e-04
0.000141905     	-3.95139887e-04
0.000142339     	-3.95139887e-04
0.000142772     	-3.95139887e-04
0.000143209     	-3.95139887e-04
0.000143646     	-3.95139887e-04
0.000144086     	-3.95139887e-04
0.000144527     	-3.95139887e-04
0.00014497      	-3.95139887e-04
0.000145418     	-3.95139887e-04
0.000145865     	-3.95139887e-04
