# Region type : patch inlet
# Faces         : 30
# Area          : 1.06980230e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.000941717     	-1.07002488e-04
0.00094366      	-1.07002488e-04
0.000945603     	-1.07002488e-04
0.000947545     	-1.07002488e-04
0.000949488     	-1.07002488e-04
0.000951431     	-1.07002488e-04
0.000953374     	-1.07002488e-04
0.000955401     	-1.07002488e-04
0.000957428     	-1.07002488e-04
0.000959455     	-1.07002488e-04
0.000961483     	-1.07002488e-04
0.00096351      	-1.07002489e-04
0.000965537     	-1.07002489e-04
0.000967564     	-1.07002489e-04
0.000969592     	-1.07002489e-04
0.000971619     	-1.07002489e-04
0.000973646     	-1.07002489e-04
0.000975673     	-1.07002489e-04
0.0009777       	-1.07002489e-04
0.000979728     	-1.07002489e-04
0.000981755     	-1.07002489e-04
0.000983782     	-1.07002489e-04
0.000985809     	-1.07002489e-04
0.000987837     	-1.07002489e-04
0.000989864     	-1.07002489e-04
0.000991891     	-1.07002489e-04
0.000993918     	-1.07002489e-04
0.000995946     	-1.07002489e-04
0.000997973     	-1.07002489e-04
0.001           	-1.07002489e-04
0.001002        	-1.07002489e-04
0.001004        	-1.07002489e-04
0.001006        	-1.07002489e-04
0.001008        	-1.07002489e-04
0.00101         	-1.07002489e-04
0.001012        	-1.07002489e-04
0.001014        	-1.07002489e-04
0.001016        	-1.07002489e-04
0.001018        	-1.07002489e-04
0.00102         	-1.07002489e-04
0.001022        	-1.07002489e-04
0.001024        	-1.07002489e-04
0.001026        	-1.07002489e-04
0.001028        	-1.07002489e-04
0.00103         	-1.07002489e-04
0.001032        	-1.07002489e-04
0.001034        	-1.07002489e-04
0.001036        	-1.07002489e-04
0.001038        	-1.07002489e-04
0.00104         	-1.07002489e-04
0.001042        	-1.07002489e-04
0.001044        	-1.07002489e-04
0.001046        	-1.07002489e-04
0.001048        	-1.07002489e-04
0.00105         	-1.07002489e-04
0.001052        	-1.07002489e-04
0.001054        	-1.07002489e-04
0.001056        	-1.07002489e-04
0.001058        	-1.07002489e-04
0.00106         	-1.07002489e-04
0.001062        	-1.07002489e-04
0.001064        	-1.07002489e-04
0.001066        	-1.07002489e-04
0.001068        	-1.07002489e-04
0.00107         	-1.07002489e-04
0.001072        	-1.07002489e-04
0.001074        	-1.07002489e-04
0.001076        	-1.07002489e-04
0.001078        	-1.07002489e-04
0.00108         	-1.07002489e-04
0.001082        	-1.07002489e-04
0.001084        	-1.07002489e-04
0.001086        	-1.07002489e-04
0.001088        	-1.07002489e-04
0.00109         	-1.07002489e-04
0.001092        	-1.07002489e-04
